id,State,match,year,Population,Violent_Crime_rate,MNMR,MNMR_rank,rape,rape_rank,robbery_rate,robbery_rate_rank,assault_rate,assault_rate_rank,property_crime_rate,property_crime_rate_rank,burglary_rate,burglary_rate_rank,larceny_theft_rate,larceny_theft_rate_rank,motor_vehicle_theft_rate,motor_vehicle_theft_rate_rank
HI,Hawaii,15,1968,778000,85.1,2.8,41,7.2,43,22.6,42,52.4,42,4353.2,4,1363.8,4,2483.7,4,505.8,8
UT,Utah,49,1968,1034000,116.2,2.9,40,11.1,30,33.7,38,68.5,39,3465.8,15,741.3,25,2469.2,5,255.2,32
ME,Maine,23,1968,979000,64.7,3,39,6.7,46,8.8,49,46.2,45,1617.5,46,513.7,41,970.1,43,133.7,44
OR,Oregon,41,1968,2008000,197,3.2,38,17.2,13,76.5,21,100,25,3537,14,945.1,16,2321.3,9,270.6,29
MT,Montana,30,1968,693000,88,3.3,37,7.2,44,18.2,44,59.3,41,2454,30,567.8,36,1687.7,22,198.4,37
MA,Massachusetts,25,1968,5437000,164,3.5,36,9.5,36,74.3,22,76.7,36,2903.9,21,868.3,20,1229,36,806.6,2
WA,Washington,53,1968,3276000,212.8,3.6,35,17.1,14,98.4,14,93.7,27,3752.2,9,1019.5,11,2435.6,7,297.1,26
KS,Kansas,20,1968,2303000,150.4,3.7,34,13.2,25,47.5,31,85.8,30,2573.3,28,615.6,34,1752.2,20,205.5,35
SD,South Dakota,46,1968,657000,85.7,3.8,33,10.2,34,19.3,43,52.4,43,1667.4,44,430.1,47,1133.8,37,103.5,46
PA,Pennsylvania,42,1968,11712000,176.8,4.1,32,10.3,33,85.2,18,77.3,35,1760.2,42,556.3,37,923.9,47,280,28
IN,Indiana,18,1968,5067000,201.9,4.8,31,14.6,20,101,13,81.4,33,2718.4,25,743.9,24,1562.5,26,411.9,17
NJ,New Jersey,34,1968,7078000,236.1,5.1,30,11.3,28,123.6,10,96.1,26,3018.2,19,1011.9,12,1487.8,30,518.5,7
OH,Ohio,39,1968,10591000,200.4,5.3,29,12.4,26,102,12,80.7,34,2580.5,27,659.4,32,1540.9,28,380.2,18
CO,Colorado,8,1968,2048000,263,5.4,28,26.1,4,96.5,15,135,19,3599.6,12,917,18,2262,10,420.6,15
NV,Nevada,32,1968,453000,278.4,5.5,26,17.4,11,142.8,9,112.6,23,4183.7,5,1282.1,7,2451.9,6,449.7,10
WV,West Virginia,54,1968,1805000,108.5,5.5,27,4.4,49,25.5,40,73.2,38,1056.5,50,349.8,49,614.7,49,92,48
CA,California,6,1968,19221000,422.9,6,25,29.9,3,192.5,6,194.6,6,5298.2,2,1644.5,2,3032.3,1,621.4,4
AZ,Arizona,4,1968,1670000,263.6,6.3,23,18.7,9,86.7,17,151.9,14,4610.8,3,1167.4,8,3022.2,2,421.2,14
WY,Wyoming,56,1968,315000,88.3,6.3,24,8.9,37,12.4,46,60.6,40,2461.6,29,545.1,38,1779.7,19,136.8,43
NM,New Mexico,35,1968,1015000,250.5,6.4,21,21.1,8,50.5,27,172.5,10,3546.5,13,970.2,14,2245.5,11,330.7,22
OK,Oklahoma,40,1968,2518000,177.6,6.4,22,15.2,18,49.3,30,106.7,24,2443.7,31,726.4,26,1502.1,29,215.2,34
NY,New York,36,1968,18113000,543.9,6.5,20,14,22,330.5,2,192.9,7,4035.4,7,1385.3,3,2071.1,13,579,6
MI,Michigan,26,1968,8740000,426.7,7.7,19,31.3,2,209.6,5,178.2,9,3743.9,11,1163.2,9,2150.5,12,430.2,13
AR,Arkansas,5,1968,2012000,216.7,8.1,17,17.3,12,39.6,36,151.7,15,1741.8,43,569.7,35,1068.9,38,103.2,47
IL,Illinois,17,1968,10974000,408,8.1,18,16.4,15,211.5,4,172,11,2829.8,22,683.6,29,1705.2,21,441,12
DE,Delaware,11,1968,534000,241.2,8.4,16,14,23,105.1,11,113.7,22,2924.3,20,885,19,1619.3,24,420,16
TN,Tennessee,47,1968,3976000,220.5,8.7,15,11.6,27,71.2,23,129,20,1954.2,38,719.7,27,967.1,45,267.4,30
MO,Missouri,29,1968,4627000,328.9,8.8,14,23.3,6,153.6,8,143.2,17,3255.3,16,976.6,13,1832.3,18,446.4,11
KY,Kentucky,21,1968,3229000,164.7,8.9,13,10.2,35,60.1,25,85.4,31,1826.4,40,522.5,40,971.7,42,332.2,21
MD,Maryland,24,1968,3757000,623,9.3,12,26,5,275.6,3,312,2,3956.8,8,1301.2,6,2050.6,14,605,5
LA,Louisiana,22,1968,3732000,314.6,9.5,11,16.4,16,90.3,16,198.4,5,2192.7,34,678,30,1232.1,35,282.6,27
MS,Mississippi,28,1968,2342000,145,9.9,10,7.6,40,13.2,45,114.3,21,942.2,51,313.7,50,556.4,51,72,51
NC,North Carolina,37,1968,5135000,351,10.2,9,11.3,29,37.6,37,291.9,3,1655.9,45,539.7,39,962.8,46,153.3,41
VA,Virginia,51,1968,4597000,278.9,10.3,8,15.6,17,65.8,24,187.2,8,2608.7,26,786.4,22,1559.9,27,262.3,31
AK,Alaska,2,1968,277000,175.5,10.5,7,21.7,7,52.7,26,90.6,28,3145.5,18,747.3,23,1915.9,16,482.3,9
TX,Texas,48,1968,10972000,270.2,10.6,6,14.5,21,82.9,19,162.3,13,3208.1,17,939.6,17,1957.1,15,311.4,24
AL,Alabama,1,1968,3566000,232.4,11.8,5,11.1,31,41,35,168.5,12,1766.6,41,628.2,33,967.7,44,170.7,39
FL,Florida,12,1968,6160000,453.1,11.9,4,18.1,10,159.9,7,263.3,4,4045.4,6,1327,5,2398.5,8,319.9,23
SC,South Carolina,45,1968,2692000,217.4,13.6,3,15,19,42.8,34,146,16,1958.2,37,708.5,28,1065.9,39,183.8,38
GA,Georgia,13,1968,4588000,215.8,13.9,2,13.5,24,47.5,32,141,18,1940.3,39,660.8,31,1043.1,41,236.4,33
DC,Columbia,9,1968,809000,1505.6,24.1,1,32.1,1,1065.8,1,383.6,1,6362.5,1,2218.8,1,2740.3,3,1403.5,1
ND,North Dakota,38,1969,615000,35.8,0.2,51,4.1,49,7.2,51,24.4,51,1450.1,49,249.3,51,1105.7,43,95.1,49
